JD,g,Lat,Elon,B,Rotation,Phase
2452436.830645,0.361,29.38,180.55,18.0325,17.8519,17.9747
2452787.598492,0.513,31.63,208.61,18.0711,17.8526,18.0199
2452550.675166,1.712,28.33,244.21,18.1555,17.8187,18.1383
2452799.240041,0.316,31.35,272.59,17.9615,17.7948,17.9732
2452472.962867,1.238,28.55,304.38,18.0750,17.7661,18.1043
2452772.598087,0.912,31.96,333.92,18.0648,17.7853,18.0959
2452440.035934,0.410,29.30,359.93,17.9627,17.7684,17.9920
2452688.541026,1.734,32.17,31.52,18.1065,17.7687,18.1363
2452458.069952,0.858,28.86,63.66,18.0445,17.7712,18.0736
2452789.643255,0.464,31.58,93.38,18.0151,17.8074,18.0317
2452444.244973,0.499,29.19,122.74,18.0213,17.8057,18.0109
2452750.247484,1.443,32.33,153.47,18.1703,17.8477,18.1278
