JD,g,Lat,Elon,V,Rotation,Phase
2452436.862716,0.361,29.38,178.75,17.2993,17.1485,17.2427
2452787.613817,0.513,31.63,207.75,17.3432,17.1571,17.2901
2452550.702273,1.712,28.33,242.68,17.4266,17.1217,17.4068
2452799.274918,0.316,31.35,270.63,17.2270,17.0889,17.2397
2452472.996286,1.238,28.55,302.50,17.3429,17.0672,17.3783
2452772.634032,0.911,31.96,331.89,17.3156,17.0700,17.3533
2452440.068009,0.411,29.30,358.12,17.2341,17.0705,17.2657
2452688.556350,1.734,32.17,30.66,17.3823,17.0763,17.4076
2452458.097114,0.859,28.86,62.13,17.3168,17.0772,17.3390
2452789.676579,0.463,31.58,91.51,17.2751,17.0995,17.2881
2452444.277588,0.500,29.19,120.90,17.2916,17.1081,17.2827
2452750.264898,1.442,32.33,152.49,17.4330,17.1432,17.3933
