JD,g,Lat,Elon,B,Rotation,Phase
2452436.830645,0.361,29.38,0.55,16.3039,16.2886,16.2909
2452787.598492,0.513,31.63,28.61,16.3445,16.3223,16.3057
2452550.675166,1.712,28.33,64.21,16.4546,16.3828,16.3538
2452799.240041,0.316,31.35,92.59,16.4534,16.4402,16.3067
2452472.962867,1.238,28.55,124.38,16.4571,16.4038,16.3349
2452772.598087,0.912,31.96,153.91,16.3593,16.3196,16.3288
2452440.035934,0.410,29.30,179.93,16.2238,16.2063,16.2994
2452688.541026,1.734,32.17,211.52,16.2058,16.1331,16.3608
2452458.069952,0.858,28.86,243.66,16.2068,16.1694,16.3200
2452789.643255,0.464,31.58,273.38,16.2577,16.2377,16.3092
2452444.244973,0.499,29.19,302.74,16.2669,16.2454,16.3034
2452750.247484,1.443,32.33,333.47,16.3285,16.2671,16.3453
