pluto.NH_BLUE.HST_F555W.vegamag, 290860857:15.563227177095976,291114237:15.668432566362418,291201837:15.655256177178023,291267597:15.594337742106788,291308097:15.497688644354348,291374037:15.567248186458404,291440517:15.678022479704616,291481197:15.76875823776761,291547077:15.679090382943624,291608877:15.700473983084427,291651657:15.646677589563884,291821817:15.651432198676405,291999777:15.637897405910072,292233837:15.641111814584152,292406157:15.5032245043044,292546437:15.663130568819833,292750977:15.640235123148562,292922727:15.573260413480039,293095437:15.634617039458831,293372997:15.655697406525729,293447157:15.553634386587028,293507757:15.60319825995391,293545317:15.512678756940355,293609397:15.60089401370782,293679477:15.731560079939772,293722557:15.743472203828096,293790657:15.656517677273413,293851407:15.65230249571288,293873637:15.642651038501697,293938617:15.694450891491513,295205397:15.609294414891881,295230357:15.554350023856534,295270917:15.5826887519937,295341177:15.770668411101841,295403757:15.739005793449794,295444497:15.6732071256632,295514397:15.741083223134098,295574637:15.6154393411005,295611597:15.633338675333482,295859097:15.752443209013906,296032497:15.690207817195269,296204937:15.63875348594542,296376957:15.599563594963433,296787417:15.591387138131894,296826417:15.580402157206194,296962197:15.643955339134484,297006957:15.755274963623396,297067917:15.712203000755801,297172077:15.677883618356045,297239157:15.639673162994177,297334977:15.626939147680652,297687047:15.700503650769667,297789527:15.657056348874175,297857627:15.652105303090847,298077108:15.699280166830627,298165238:15.728193667261056
pluto.NH_RED.HST_F555W.vegamag, 290860857:15.190452684706635,291114237:15.262206228479855,291201837:15.188791593866702,291267597:15.200522532169263,291308097:15.133043106162697,291374037:15.145118578810866,291440517:15.24780488711273,291481197:15.349380778930099,291547077:15.26863884484613,291608877:15.255002767685955,291651657:15.218597678819162,291821817:15.221940607944788,291999777:15.251205127457798,292233837:15.263281945415278,292406157:15.13520434926244,292546437:15.263588247144234,292750977:15.21272140136917,292922727:15.209619738989707,293095437:15.246303151278356,293372997:15.259567324567664,293447157:15.17812585648575,293507757:15.183090785594567,293545317:15.132010896855103,293609397:15.201249351045387,293679477:15.276546926896355,293722557:15.344198084251268,293790657:15.259064767950576,293851407:15.264854868021638,293873637:15.210698689921191,293938617:15.258216566951214,295205397:15.184098121386047,295230357:15.148210906238301,295270917:15.192598835813772,295341177:15.311748754189026,295403757:15.302274950036617,295444497:15.248117222801348,295514397:15.230318747514175,295574637:15.214120781408512,295611597:15.20822367878304,295859097:15.309779114128458,296032497:15.260640983308024,296204937:15.223643649735997,296376957:15.184666622913575,296787417:15.169361129103764,296826417:15.168883576980962,296962197:15.234567384479861,297006957:15.321335013502708,297067917:15.278956404080889,297172077:15.250309023934363,297239157:15.213208048516842,297334977:15.206370135606107,297687047:15.276884238298065,297789527:15.225466320226149,297857627:15.241363645807466,298077108:15.293337700947992,298165238:15.302379476954567
pluto.combined.HST_F555W.vegamag, 290860857:15.343388588801023,291114237:15.427374614561101,291201837:15.375388629153521,291267597:15.361180371685542,291308097:15.282970281120486,291374037:15.316018767952324,291440517:15.421599550370546,291481197:15.51929288834041,291547077:15.43533530305864,291608877:15.434218680594395,291651657:15.391628668629684,291821817:15.395476019958547,291999777:15.409259456627751,292233837:15.418081820211953,292406157:15.286382276875452,292546437:15.426331555699171,292750977:15.385549961811813,292922727:15.359174002987832,293095437:15.40495114967613,293372997:15.421068943293772,293447157:15.332070509393542,293507757:15.353265142493672,293545317:15.28785476862984,293609397:15.364029862423479,293679477:15.459129191526849,293722557:15.506843885841635,293790657:15.4210480488107,293851407:15.423185799502782,293873637:15.385112373700826,293938617:15.4341554851119,295205397:15.356097425350248,295230357:15.313347708527225,295270917:15.351896391006369,295341177:15.495703695555926,295403757:15.478390477082733,295444497:15.42007842919949,295514397:15.432189186377741,295574637:15.377509468259241,295611597:15.380193871229185,295859097:15.488001040277124,296032497:15.434203269412947,296204937:15.392020415843886,296376957:15.352966706659156,296787417:15.340224153221232,296826417:15.335965337963781,296962197:15.400879548041909,297006957:15.496457160021606,297067917:15.453831505778094,297172077:15.42315935140812,297239157:15.385661521571208,297334977:15.376710234943172,297687047:15.448318629363753,297789527:15.399750768362306,297857627:15.408164888335884,298077108:15.458403286696047,298165238:15.474599997028085
pluto.NH_BLUE.HST_F435W.vegamag, 290860857:16.33877595078902,291114237:16.443981340055462,291201837:16.430804950871067,291267597:16.36988651579983,291308097:16.27323741804739,291374037:16.342796960151446,291440517:16.453571253397662,291481197:16.544307011460653,291547077:16.454639156636667,291608877:16.47602275677747,291651657:16.42222636325693,291821817:16.42698097236945,291999777:16.413446179603117,292233837:16.416660588277196,292406157:16.278773277997445,292546437:16.438679342512877,292750977:16.415783896841607,292922727:16.34880918717308,293095437:16.410165813151878,293372997:16.431246180218775,293447157:16.329183160280074,293507757:16.378747033646953,293545317:16.2882275306334,293609397:16.376442787400862,293679477:16.507108853632815,293722557:16.51902097752114,293790657:16.432066450966456,293851407:16.427851269405924,293873637:16.41819981219474,293938617:16.469999665184556,295205397:16.384843188584924,295230357:16.32989879754958,295270917:16.358237525686743,295341177:16.546217184794884,295403757:16.514554567142838,295444497:16.448755899356247,295514397:16.516631996827144,295574637:16.390988114793544,295611597:16.408887449026526,295859097:16.52799198270695,296032497:16.46575659088831,296204937:16.414302259638465,296376957:16.375112368656477,296787417:16.36693591182494,296826417:16.355950930899237,296962197:16.41950411282753,297006957:16.53082373731644,297067917:16.487751774448846,297172077:16.453432392049088,297239157:16.41522193668722,297334977:16.402487921373694,297687047:16.47605242446271,297789527:16.43260512256722,297857627:16.42765407678389,298077108:16.474828940523672,298165238:16.5037424409541
pluto.NH_RED.HST_F435W.vegamag, 290860857:15.966001458399678,291114237:16.037755002172897,291201837:15.964340367559744,291267597:15.976071305862307,291308097:15.90859187985574,291374037:15.92066735250391,291440517:16.023353660805775,291481197:16.124929552623144,291547077:16.044187618539176,291608877:16.030551541378998,291651657:15.994146452512204,291821817:15.99748938163783,291999777:16.02675390115084,292233837:16.038830719108322,292406157:15.910753122955484,292546437:16.039137020837277,292750977:15.988270175062212,292922727:15.985168512682751,293095437:16.0218519249714,293372997:16.03511609826071,293447157:15.953674630178792,293507757:15.958639559287612,293545317:15.907559670548148,293609397:15.976798124738432,293679477:16.052095700589398,293722557:16.11974685794431,293790657:16.03461354164362,293851407:16.040403641714683,293873637:15.986247463614234,293938617:16.03376534064426,295205397:15.95964689507909,295230357:15.923759679931344,295270917:15.968147609506817,295341177:16.08729752788207,295403757:16.07782372372966,295444497:16.02366599649439,295514397:16.005867521207218,295574637:15.989669555101557,295611597:15.983772452476085,295859097:16.085327887821503,296032497:16.03618975700107,296204937:15.99919242342904,296376957:15.96021539660662,296787417:15.944909902796807,296826417:15.944432350674006,296962197:16.010116158172906,297006957:16.09688378719575,297067917:16.054505177773933,297172077:16.025857797627406,297239157:15.988756822209886,297334977:15.981918909299152,297687047:16.05243301199111,297789527:16.001015093919193,297857627:16.01691241950051,298077108:16.068886474641037,298165238:16.07792825064761
pluto.combined.HST_F435W.vegamag, 290860857:16.338771182944,291114237:16.443976058845298,291201837:16.430798704377466,291267597:16.36988142690363,291308097:16.2732327725819,291374037:16.342791429280517,291440517:16.4535655941461,291481197:16.544301524056976,291547077:16.45463380945263,291608877:16.47601685278702,291651657:16.422220738029836,291821817:16.42697532468083,291999777:16.413441200089956,292233837:16.41665574386126,292406157:16.27876858183908,292546437:16.438674165146562,292750977:16.41577828061506,292922727:16.34880455677205,293095437:16.41016080879957,293372997:16.431241055619545,293447157:16.32917835106841,293507757:16.378741534724195,293545317:16.28822264307552,293609397:16.37643760844938,293679477:16.507102794788015,293722557:16.519015804308328,293790657:16.432061305930624,293851407:16.42784627832725,293873637:16.41819412528261,293938617:16.469993909807126,295205397:16.384837609149,295230357:16.3298935176986,295270917:16.358232494087385,295341177:16.54621106215847,295403757:16.514548803808992,295444497:16.448750321607452,295514397:16.516625005486798,295574637:16.390982909893676,295611597:16.408881870879814,295859097:16.527986124014273,296032497:16.465750942001662,296204937:16.41429683941982,296376957:16.375106951782037,296787417:16.366930382592233,296826417:16.355945567013357,296962197:16.41949878227487,297006957:16.53081801865776,297067917:16.48774606687121,297172077:16.453426774855092,297239157:16.4152163371177,297334977:16.40248241516423,297687047:16.4760468700159,297789527:16.432599441435908,297857627:16.427648725060397,298077108:16.474823663736792,298165238:16.503736851716354
charon.NH_BLUE.HST_F555W.vegamag, 290860857:17.4747760796952,291114237:17.852060829383568,291201837:17.765906895939356,291267597:17.8024424293372,291308097:17.533762958056382,291374037:17.460534857610202,291440517:17.897817963368368,291481197:17.832830791614253,291547077:17.545293647597852,291608877:17.913351840749048,291651657:17.791052216979303,291821817:17.740835954226586,291999777:17.72547916955041,292233837:17.601003086410984,292406157:17.65049942818708,292546437:17.80177268089078,292750977:17.65752929496426,292922727:18.15543228422907,293095437:17.72739218092518,293372997:17.928983268565467,293447157:17.672103919196932,293507757:17.84079367156508,293545317:17.744241190859046,293609397:17.63463918001098,293679477:17.850663708525452,293722557:17.914733756175547,293790657:17.824752804314357,293851407:18.049600394447516,293873637:17.68136478155333,293938617:18.019474816954208,295205397:17.93103553984577,295230357:17.792020688909705,295270917:17.762201335333188,295341177:17.910691143910103,295403757:17.90927615698193,295444497:17.724172797707578,295514397:17.725422394907778,295574637:17.878653592910574,295611597:17.754740020626848,295859097:17.87778643817545,296032497:17.855521168942783,296204937:17.774846239319515,296376957:17.762189978626807,296787417:17.768514238783567,296826417:17.773497889083146,296962197:17.752275753444643,297006957:17.87322310377494,297067917:17.814963938727786,297172077:17.88255140356952,297239157:17.809967500821507,297334977:17.807343981921175,297687047:17.92212460523794,297789527:17.82466683952596,297857627:17.81792953574779,298077108:17.808855216348277,298165238:17.815215084592523
charon.NH_RED.HST_F555W.vegamag, 290860857:17.162669808370268,291114237:17.455511131238524,291201837:17.384929558562668,291267597:17.302909225374233,291308097:17.341498835019188,291374037:17.251378397311708,291440517:17.30773223524514,291481197:17.39126094518161,291547077:17.3299641894766,291608877:17.369078834704926,291651657:17.3131813219399,291821817:17.432944411604694,291999777:17.253201455221586,292233837:17.432198587816238,292406157:17.310448519437042,292546437:17.31698831432472,292750977:17.411206876720343,292922727:17.441585487453782,293095437:17.277538025845068,293372997:17.369635580941107,293447157:17.293683943225673,293507757:17.360036377209134,293545317:17.28302374331659,293609397:17.38664166210019,293679477:17.31468119382858,293722557:17.385992029168545,293790657:17.418692542070804,293851407:17.434953476949865,293873637:17.378068274022105,293938617:17.332891741631737,295205397:17.387085372175893,295230357:17.29473732581205,295270917:17.29505573172885,295341177:17.377170639994272,295403757:17.347224711344108,295444497:17.38015808735974,295514397:17.40089916419995,295574637:17.390239140602027,295611597:17.374466183929144,295859097:17.39440991281745,296032497:17.40040660705061,296204937:17.374384866883602,296376957:17.2716324291594,296787417:17.324321330148127,296826417:17.314092257911273,296962197:17.309630977756882,297006957:17.357775011360008,297067917:17.34181799308379,297172077:17.393435432813433,297239157:17.348716847987404,297334977:17.35178496064993,297687047:17.419185406130726,297789527:17.366755579016143,297857627:17.35381107901526,298077108:17.34972878989348,298165238:17.34377583785279
charon.combined.HST_F555W.vegamag, 290860857:17.30022232716298,291114237:17.626522627141576,291201837:17.549888770686238,291267597:17.512620490546315,291308097:17.428843729677254,291374037:17.345995638321767,291440517:17.549600506187996,291481197:17.579472387849975,291547077:17.42722291179812,291608877:17.594894250709064,291651657:17.514942031405585,291821817:17.568785646860242,291999777:17.45289301014609,292233837:17.50933682037491,292406157:17.459247614771865,292546437:17.521297336018698,292750977:17.521598107898917,292922727:17.72465082008199,293095437:17.468866586976763,293372997:17.60078179608281,293447157:17.45764414602006,293507757:17.562862262095244,293545317:17.478603844089285,293609397:17.497736527335327,293679477:17.53754445755662,293722557:17.60626504187246,293790657:17.593374299819885,293851407:17.68524765090295,293873637:17.51203931432929,293938617:17.607149689509235,295205397:17.612786100523437,295230357:17.503627517970976,295270917:17.492842789372304,295341177:17.599154411978837,295403757:17.579321990439833,295444497:17.530538459179375,295514397:17.543470357321123,295574637:17.595882115595185,295611597:17.53915072305041,295859097:17.598200833498705,296032497:17.59370679462778,296204937:17.546908323803127,296376957:17.478061607491036,296787417:17.513521351755152,296826417:17.50899633894787,296962197:17.498247719434563,297006957:17.573263559103626,297067917:17.541831183973002,297172077:17.599335870692077,297239157:17.544309331624795,297334977:17.54525146024401,297687047:17.630137624284103,297789527:17.561101552465505,297857627:17.55047212378959,298077108:17.54452863197309,298165238:17.543156629067163
charon.NH_BLUE.HST_F435W.vegamag, 290860857:17.95519477980213,291114237:18.3324795294905,291201837:18.246325596046283,291267597:18.282861129444132,291308097:18.014181658163313,291374037:17.94095355771713,291440517:18.378236663475295,291481197:18.313249491721184,291547077:18.02571234770478,291608877:18.39377054085598,291651657:18.27147091708623,291821817:18.221254654333517,291999777:18.205897869657342,292233837:18.08142178651791,292406157:18.13091812829401,292546437:18.28219138099771,292750977:18.13794799507119,292922727:18.635850984336,293095437:18.20781088103211,293372997:18.409401968672398,293447157:18.15252261930386,293507757:18.32121237167201,293545317:18.224659890965977,293609397:18.115057880117906,293679477:18.331082408632383,293722557:18.395152456282474,293790657:18.30517150442129,293851407:18.530019094554444,293873637:18.161783481660258,293938617:18.499893517061135,295205397:18.4114542399527,295230357:18.272439389016636,295270917:18.24262003544012,295341177:18.391109844017034,295403757:18.389694857088863,295444497:18.204591497814505,295514397:18.20584109501471,295574637:18.359072293017505,295611597:18.23515872073378,295859097:18.35820513828238,296032497:18.33593986904971,296204937:18.255264939426446,296376957:18.24260867873374,296787417:18.248932938890498,296826417:18.253916589190077,296962197:18.232694453551574,297006957:18.35364180388187,297067917:18.295382638834717,297172077:18.36297010367645,297239157:18.290386200928435,297334977:18.287762682028102,297687047:18.402543305344867,297789527:18.305085539632888,297857627:18.298348235854718,298077108:18.28927391645521,298165238:18.295633784699454
