Filter	Req ID	fn	MET	long	lat	flux	flux err	fwhm	mag	max	skymean	skyerr	skysig	xcen	ycen	power side
Red	APMV_PC_COLOR_099_SCI1	mc0_0290860851_0x536_sci_3	2457121.7	173.85783	43.175089	38894.4	457.626	1.73963	12.5253	155.879	0.788094	0.641857	0.641216	2542.74	412.856	0
Red	APMV_PC_COLOR_102_SCI1	mc0_0291114231_0x536_sci_9	2457124.6	8.5596114	43.173434	39339.3	482.496	2.02429	12.5129	98.7385	-0.264797	0.436675	0.975968	2557.66	422.38	1
Red	APMV_PC_COLOR_103_SCI1	mc0_0291201831_0x536_sci_9	2457125.6	311.41311	43.173624	42347.5	459.495	1.78362	12.4329	146.866	1.12943	0.466118	0.467694	2537.17	409.154	0
Red	APMV_PC_COLOR_103_SCI3	mc0_0291267591_0x536_sci_9	2457126.4	268.51344	43.174101	43203.7	486.697	1.71221	12.4112	165.686	0.0908587	0.962973	0.964591	2514.66	435.791	1
Red	APMV_PC_COLOR_104_SCI1	mc0_0291308091_0x536_sci_9	2457126.9	242.09215	43.174407	45789.3	464.3	2.06691	12.3481	118.908	1.24738	0.500282	0.501799	2542.65	422.451	0
Red	APMV_PC_COLOR_105_SCI1	mc0_0291374031_0x536_sci_9	2457127.6	199.07381	43.174718	46832.6	465.457	1.81936	12.3236	155.4	-0.691602	0.468924	0.469169	2540.17	413.159	1
Red	APMV_PC_COLOR_105_SCI3	mc0_0291440511_0x536_sci_9	2457128.4	155.70292	43.174631	42651.6	466.422	1.8993	12.4252	131.018	0.902496	0.676082	0.675875	2522.38	418.988	0
Red	APMV_PC_COLOR_106_SCI1	mc0_0291481191_0x536_sci_9	2457128.9	129.16383	43.174374	39881.6	451.083	1.91503	12.4981	121.923	0.781237	0.426823	0.426941	2549.39	409.879	1
Red	APMV_PC_COLOR_107_SCI1	mc0_0291547071_0x536_sci_9	2457129.6	86.185175	43.173765	42909.9	462.78	2.11932	12.4186	117.947	0.904554	0.565394	0.562352	2499.6	408.48	0
Red	APMV_PC_COLOR_107_SCI3	mc0_0291608871_0x536_sci_9	2457130.4	45.869007	43.173214	44902.2	458.552	1.83544	12.3693	154.886	-0.996809	0.375003	0.37377	2489.62	415.764	1
Red	APMV_PC_COLOR_108_SCI1	mc0_0291651651_0x536_sci_9	2457130.9	17.961169	43.172977	46221.8	474.463	1.73261	12.3379	177.287	0.673467	0.663746	0.664242	2520.93	418.764	0
Red	APMV_PC_COLOR_110_SCI1	mc0_0291821811_0x536_sci_9	2457132.8	266.95554	43.173666	49062.2	482.659	1.81857	12.2731	168.962	-0.474296	0.579494	0.867248	2508.22	417.066	1
Red	APMV_PC_COLOR_112_SCI1	mc0_0291999771_0x536_sci_9	2457134.9	150.8568	43.174169	49297.5	481.253	1.88019	12.2679	154.982	1.20829	0.728277	0.732512	2511.8	420.233	0
Red	APMV_PC_COLOR_115_SCI1	mc0_0292233831_0x536_sci_6	2457137.6	358.16345	43.172347	53033.8	473.844	1.75625	12.1886	189.978	0.693973	0.00129659	0.461558	2525.09	417.118	
Red	APMV_PC_COLOR_117_SCI1	mc0_0292406151_0x536_sci_6	2457139.6	245.74814	43.173433	61632	490.92	1.97753	12.0255	175.846	0.93018	0.487876	0.485475	2559.99	418.588	0
Red	APMV_PC_COLOR_118_SCI1	mc0_0292546431_0x536_sci_6	2457141.2	154.23088	43.173711	58152.3	481.892	1.80079	12.0886	191.796	-1.07039	0.371826	0.367347	2531.05	431.192	1
Red	APMV_PC_COLOR_121_SCI1	mc0_0292750971_0x536_sci_9	2457143.6	20.794864	43.171783	63721.4	504.152	1.9873	11.9893	166.837	0.90511	0.644806	0.648081	2533.51	429.178	0
Red	APMV_PC_COLOR_123_SCI1	mc0_0292922721_0x536_sci_6	2457145.6	268.7525	43.172517	68538.6	524.997	1.88288	11.9102	216.427	-0.375679	0.538349	0.89867	2558.21	409.158	1
Red	APMV_PC_COLOR_125_SCI1	mc0_0293095431_0x536_sci_6	2457147.6	156.0785	43.173162	69019.2	505.051	1.79971	11.9026	229.737	0.884251	0.539175	0.536692	2526.77	422.081	0
Red	APMV_PC_COLOR_128_SCI1	mc0_0293372991_0x536_sci_12	2457150.8	335.00792	43.17096	76080.2	512.167	1.76771	11.7968	264.697	-1.04055	0.361419	0.361596	2526.9	411.889	1
Red	APMV_PC_COLOR_129_SCI1	mc0_0293447151_0x536_sci_27	2457151.6	286.62913	43.171514	82591.2	532.983	2.34943	11.7077	158.938	1.04885	0.686686	0.685497	2502.45	413.405	0
Red	APMV_PC_COLOR_129_SCI3	mc0_0293507751_0x536_sci_27	2457152.3	247.0953	43.172146	85583.6	541.021	1.94152	11.669	243.742	-0.400266	0.547437	0.891781	2543.97	430.625	1
Red	APMV_PC_COLOR_130_SCI1	mc0_0293545311_0x536_sci_12	2457152.8	222.59168	43.172461	89415.2	543.076	1.90116	11.6215	261.835	1.02839	0.684923	0.680847	2550.22	410.807	0
Red	APMV_PC_COLOR_131_SCI1	mc0_0293609391_0x536_sci_12	2457153.5	180.78625	43.172645	87225.2	553.309	1.9592	11.6484	249.929	-0.0713512	0.894728	0.894846	2553.75	417.166	1
Red	APMV_PC_COLOR_131_SCI3	mc0_0293679471_0x536_sci_27	2457154.3	135.06646	43.172212	82058.4	524.011	1.8507	11.7147	258.941	0.721847	0.47526	0.474818	2507.98	411.983	0
Red	APMV_PC_COLOR_132_SCI1	mc0_0293722551_0x536_sci_12	2457154.8	106.96174	43.171683	79729	540.774	1.97864	11.746	232.497	-0.0649479	0.911757	0.910619	2561.95	428.683	1
